NewRollNo,Class,Question1,Question2,Question3,Question4,Question5,Question6,Question7,Question8,Question9,Question10,Question11,Question12,Question13,Question14,Question15,Question16,Question17,Question18,Question19,Question20,Question21,Question22,Question23,Question24,Question25,Question26,Question27,Question28,Question29,Question30,Question31,Question32,Question33,Question34,Question35,Question36,Question37,Question38,Question39,Question40,Question41,Question42,Question43,Question44,Question45,Question46,Question47,Question48,Question49,Question50,Question51,Question52,Question53,Question54,Question55,Question56,Question57,Question58,Question59,Question60,Question61,Question62,Question63,Question64,Question65,Question66,Question67,Question68,Question69,Question70,Question71,Question72,Question73,Question74,Question75,Question76,Question77,Question78,Question79,Question80,Question81,Question82,Question83,Question84,Question85,Question86,Question87,Question88,Question89,Question90
3657,7,D,D,D,,E,B,A,C,B,D,B,E,C,A,D,E,B,D,D,C,A,A,B,E,A,A,B,,D,A,E,A,C,D,B,B,C,D,E,C,A,E,C,D,C,A,C,,D,E,A,C,D,"A,E",D,B,A,A,C,D,D,C,E,A,A,B,B,D,D,C,B,D,E,C,B,D,A,E,D,E,,,,,,,,,,
3658,7,D,C,B,B,"A,D","B,D",B,"A,C","A,C",B,C,E,B,B,D,C,A,C,D,D,C,D,D,D,B,B,A,D,B,D,D,A,A,B,E,B,C,A,D,C,A,B,D,B,A,C,D,A,B,D,B,E,B,C,D,B,C,D,A,D,C,A,E,A,D,B,C,C,A,E,C,E,C,D,B,D,C,C,D,A,,,,,,,,,,
3659,7,A,E,C,B,D,E,D,A,B,A,D,A,D,A,B,D,B,D,D,B,D,B,C,D,C,B,D,E,B,C,B,B,C,B,E,B,E,C,B,B,C,A,D,A,D,A,D,A,E,E,D,C,A,B,C,C,E,E,B,E,C,B,C,B,E,C,D,C,B,E,D,B,C,B,E,C,E,A,D,A,,,,,,,,,,
3662,7,D,E,D,D,C,B,B,C,A,C,A,A,A,D,D,A,A,D,D,A,A,D,A,D,D,C,B,D,B,B,C,B,D,C,E,B,E,C,C,A,C,C,C,B,B,A,B,B,A,C,A,C,E,A,C,C,C,A,A,D,B,E,C,C,E,B,C,D,D,C,C,D,B,B,B,C,C,C,A,D,,,,,,,,,,
3663,7,C,D,B,A,D,"A,B",B,D,A,C,A,E,A,A,B,E,A,D,B,A,E,A,C,D,C,C,A,C,B,D,B,C,B,D,A,B,C,A,B,C,B,D,C,B,A,C,E,A,C,B,C,D,A,B,C,B,A,B,C,B,E,A,B,A,A,B,B,D,C,D,B,A,B,C,B,D,C,E,B,C,,,,,,,,,,
3665,7,E,E,C,A,E,C,E,A,E,E,B,E,A,A,E,E,B,A,A,E,C,A,B,C,B,B,E,E,E,E,C,B,E,E,A,E,E,E,E,D,E,D,A,B,E,A,D,C,C,D,D,E,E,C,E,B,E,D,E,C,A,C,A,A,E,E,E,C,E,A,B,E,A,E,A,E,E,A,B,D,,,,,,,,,,
3666,7,B,E,B,B,B,A,B,A,B,D,B,B,C,D,C,B,A,D,E,B,A,A,D,B,C,A,E,A,B,D,C,B,D,D,E,B,A,B,A,B,E,B,C,D,D,A,D,B,C,B,A,D,B,B,A,C,C,E,D,D,B,C,C,C,B,B,D,A,D,D,B,B,B,C,C,B,D,D,D,B,,,,,,,,,,
3667,7,D,A,D,D,D,A,B,A,C,A,D,A,D,D,D,C,D,D,D,B,D,A,C,B,A,D,B,D,D,C,B,D,D,B,B,B,D,D,D,A,A,C,B,E,A,D,C,E,B,D,D,A,C,D,E,B,D,A,C,E,D,B,C,E,B,A,A,D,C,B,E,C,A,D,B,E,C,A,D,D,,,,,,,,,,
3678,7,E,A,A,E,B,D,E,E,E,E,B,C,B,D,D,B,E,A,B,E,A,D,C,C,A,A,E,A,B,B,E,B,A,A,A,E,D,D,A,A,C,B,C,A,C,A,C,E,A,B,B,D,C,B,C,E,D,A,C,E,D,A,A,C,C,A,A,B,A,A,B,A,E,B,E,C,E,A,D,C,,,,,,,,,,
3682,7,E,C,A,B,B,B,B,D,A,E,A,A,D,D,B,B,E,D,C,E,A,B,E,B,E,A,A,E,E,B,E,C,D,A,D,B,A,C,E,B,C,E,C,E,D,A,B,C,B,B,A,A,A,B,E,E,A,C,D,C,C,C,A,C,A,A,B,C,C,B,E,A,A,D,A,D,C,B,B,D,,,,,,,,,,
3686,7,A,E,A,B,B,E,B,C,A,D,D,D,A,D,B,B,A,D,D,B,A,B,C,C,D,A,B,D,C,D,E,B,B,D,C,A,E,D,B,A,D,B,C,D,B,B,D,E,D,A,A,D,D,B,C,C,A,E,B,D,C,C,D,A,A,D,D,E,D,A,B,A,B,B,A,D,D,B,C,D,,,,,,,,,,
3687,7,A,E,E,A,E,A,A,C,A,C,B,A,E,D,D,E,E,D,A,D,A,B,C,C,D,A,E,B,D,D,E,B,B,D,E,C,E,D,B,A,D,B,E,D,D,A,D,E,D,A,A,D,D,B,B,C,A,E,B,E,B,A,C,C,A,D,D,C,B,D,B,B,B,D,A,A,D,E,B,B,,,,,,,,,,
3690,7,A,E,B,B,B,A,D,A,B,D,D,A,D,B,C,B,A,D,D,A,D,B,D,B,C,C,D,B,C,E,A,C,B,E,A,B,C,E,C,A,A,E,B,C,E,C,B,D,B,A,E,A,C,D,B,C,C,B,A,D,B,C,E,C,B,D,C,D,D,A,E,B,B,E,A,D,E,A,B,E,,,,,,,,,,
3692,7,E,E,E,E,B,A,E,C,A,E,D,A,D,A,C,E,E,A,E,E,E,D,B,"D,E",B,A,B,E,B,A,E,E,E,B,E,B,D,A,C,E,C,B,B,B,C,B,B,A,E,B,B,D,A,C,B,B,C,E,B,D,B,A,A,E,E,B,B,D,C,B,C,B,E,B,B,B,E,B,D,B,,,,,,,,,,
3693,7,B,C,D,,B,B,C,A,A,B,D,A,C,D,A,A,D,C,B,A,D,B,A,D,C,A,C,A,C,D,C,B,A,D,A,B,B,C,A,A,B,D,A,C,E,B,A,C,A,B,D,C,A,C,C,A,B,A,D,B,D,B,C,D,B,"C,D",A,C,B,C,A,B,D,A,B,B,D,A,C,B,,,,,,,,,,
3694,7,D,C,B,B,B,A,B,E,E,C,A,A,C,A,E,B,A,B,A,B,C,A,B,C,A,A,B,E,B,B,A,B,D,D,C,C,C,C,C,C,B,A,A,B,C,A,C,E,E,E,D,B,"B,E",B,B,C,A,D,E,A,A,A,C,C,B,C,D,D,D,E,E,A,A,B,A,A,A,C,A,A,,,,,,,,,,
3695,7,B,E,E,B,A,A,B,C,A,D,"A,D",B,D,D,D,B,B,D,C,B,A,A,D,D,C,B,D,B,E,A,C,B,D,C,A,B,C,C,C,A,D,D,C,E,A,C,A,B,A,C,D,B,A,A,C,A,D,C,B,C,C,"B,D",D,C,A,D,C,B,D,D,B,C,A,A,B,C,D,E,A,B,,,,,,,,,,
3696,7,E,E,A,E,B,A,B,A,A,E,B,E,A,D,B,E,E,D,D,A,E,E,D,A,E,E,E,A,D,E,E,E,D,D,D,B,E,E,E,B,E,E,A,C,D,A,C,D,C,D,D,D,D,C,D,C,C,E,B,B,B,C,E,C,B,D,B,D,B,A,D,A,A,B,E,D,E,A,D,C,,,,,,,,,,
3699,7,E,E,A,E,B,C,B,D,A,C,B,E,C,A,B,A,C,D,A,A,A,B,D,C,A,A,B,D,E,D,D,B,C,B,E,B,E,A,D,B,B,E,D,C,A,B,D,E,C,B,D,D,C,A,A,C,B,B,A,D,B,A,E,C,E,B,B,C,D,A,D,A,C,E,C,B,D,A,B,B,,,,,,,,,,
3700,7,B,E,A,E,B,A,D,B,D,C,A,A,B,D,D,E,E,D,A,A,A,B,C,D,C,A,B,E,D,D,E,D,D,D,E,A,D,D,D,B,D,A,D,C,E,A,C,D,D,C,D,C,C,C,A,E,B,E,A,D,B,C,E,C,E,D,C,A,D,C,E,B,B,B,E,D,D,A,B,A,,,,,,,,,,
3701,7,E,E,C,D,B,A,B,C,A,E,D,B,D,D,D,E,A,D,C,B,E,D,C,A,E,A,E,C,B,D,E,D,B,C,D,C,E,C,B,E,C,D,A,E,A,,,,,,A,B,C,C,B,C,D,A,D,E,B,C,D,C,B,D,A,B,B,C,D,B,B,E,E,D,C,D,A,C,,,,,,,,,,
3702,7,E,E,A,B,B,A,B,C,A,D,E,B,C,D,D,E,E,D,D,E,A,A,C,B,C,A,E,D,D,A,E,E,D,A,D,D,E,C,A,C,E,B,C,C,D,A,E,A,B,B,A,B,B,B,A,B,E,E,D,D,B,C,C,B,B,D,D,D,C,C,E,E,E,E,A,D,D,B,E,B,,,,,,,,,,
3703,7,E,E,A,E,B,E,E,C,A,E,D,B,D,D,E,C,E,A,C,E,E,E,D,A,E,D,E,E,D,C,C,E,B,D,E,B,E,D,D,E,A,E,D,C,A,A,E,D,C,C,A,E,C,C,B,C,A,E,B,D,C,C,C,C,B,D,C,D,D,A,E,E,B,A,B,C,E,E,B,C,,,,,,,,,,
3704,7,E,E,A,B,B,A,C,C,E,E,A,B,C,D,D,E,E,D,B,A,A,A,C,D,C,D,E,B,B,D,E,B,D,A,D,A,E,C,A,C,E,B,E,C,A,A,E,D,C,C,A,E,C,C,A,E,C,D,D,E,B,C,C,B,B,D,D,D,B,D,E,E,E,E,E,C,B,E,E,B,,,,,,,,,,
3705,7,B,A,D,D,B,B,B,A,C,B,A,B,B,D,D,C,E,D,D,C,A,B,C,B,C,C,B,C,C,B,A,B,B,A,D,D,A,C,D,B,B,D,C,B,C,A,A,A,B,B,A,C,C,C,B,C,E,C,A,C,B,C,D,C,B,D,C,D,D,A,D,B,A,C,A,D,D,B,A,B,,,,,,,,,,
3708,7,D,C,C,A,D,B,B,A,B,D,D,A,A,A,C,A,B,A,C,E,C,D,C,D,D,C,C,C,D,B,C,C,D,A,D,C,D,A,B,A,D,D,C,D,C,B,C,A,C,E,A,D,A,C,C,B,C,A,C,B,A,C,A,A,A,B,A,D,C,E,C,B,A,C,A,B,E,E,C,D,,,,,,,,,,
3710,7,,,E,B,B,E,B,C,A,E,A,E,A,D,D,E,E,D,C,E,D,A,A,C,A,A,E,A,E,E,E,B,D,E,C,E,C,A,C,B,B,A,B,C,D,C,B,A,B,D,A,A,B,C,B,D,C,"A,E",E,C,E,D,B,A,C,B,A,C,A,E,B,C,E,B,D,C,B,A,E,C,,,,,,,,,,
3711,7,"B,C",D,B,B,A,C,A,C,C,C,B,A,A,A,B,A,B,C,D,D,D,A,A,A,A,A,B,A,C,D,B,A,B,B,B,B,"A,C",C,A,B,B,A,D,B,D,A,B,D,E,A,C,B,A,A,A,B,B,C,B,D,B,C,A,C,D,D,B,B,D,A,B,B,A,C,B,A,A,B,C,A,,,,,,,,,,
3714,7,B,C,D,B,A,A,D,A,B,C,D,A,D,D,B,C,D,D,D,C,D,D,C,A,D,A,B,D,B,B,D,B,B,D,D,C,C,C,B,A,C,B,C,C,B,A,B,E,C,E,C,C,B,C,A,E,C,E,A,B,B,C,E,D,E,E,D,C,D,A,C,D,C,D,C,B,E,A,D,D,,,,,,,,,,
3715,7,C,C,C,B,B,A,D,C,C,C,D,A,D,D,D,E,E,D,D,C,C,C,B,E,E,C,E,B,B,D,C,B,D,E,D,B,C,C,,C,B,D,E,C,B,A,C,E,C,B,A,D,E,B,B,B,A,A,A,D,B,C,E,C,D,C,B,D,B,A,A,C,A,B,A,D,C,C,C,E,,,,,,,,,,
3718,7,D,E,C,B,B,D,A,E,A,A,B,B,C,A,A,B,E,D,C,B,D,B,B,D,A,B,B,C,D,B,A,B,A,D,B,C,A,A,B,A,B,C,A,B,C,D,E,D,C,B,A,B,C,D,E,D,C,B,A,B,A,B,D,D,E,D,C,C,C,D,E,D,"D,E",D,C,D,E,A,B,A,,,,,,,,,,
3719,7,D,E,D,B,C,D,B,C,A,A,"B,D",A,C,D,D,E,E,D,C,D,D,C,A,C,A,A,C,A,C,B,C,B,A,D,E,D,A,C,B,A,B,C,A,C,,A,C,D,C,B,A,B,C,D,E,D,C,B,A,B,E,C,B,D,A,B,"A,C",C,B,A,E,B,A,B,B,D,D,C,B,A,,,,,,,,,,
3721,7,C,C,B,"B,C",C,A,A,A,D,C,B,A,A,A,C,D,E,C,E,B,"A,B",A,C,B,D,A,B,B,B,D,B,C,A,C,A,C,D,C,A,A,B,A,C,D,B,B,C,A,D,B,A,C,D,A,A,A,D,A,B,E,B,A,E,C,E,D,"B,D",D,D,B,C,D,A,E,D,C,,D,C,E,,,,,,,,,,
3728,7,C,E,D,B,E,A,B,C,A,D,A,A,E,E,D,D,C,C,D,A,D,D,C,B,A,D,A,A,B,C,E,B,D,B,E,B,C,C,D,E,C,A,C,E,B,A,D,B,E,D,D,E,B,C,C,E,C,"A,E",C,B,B,C,C,D,A,C,E,C,A,E,D,A,C,D,A,A,E,D,D,E,,,,,,,,,,
3729,7,D,E,D,,B,A,D,C,A,C,D,A,A,D,D,B,E,D,C,A,B,D,D,D,C,A,B,A,C,D,C,B,C,D,B,C,C,C,C,E,C,B,C,C,A,A,B,D,B,B,D,C,A,B,A,B,D,A,A,D,E,C,A,C,E,A,B,A,A,B,D,A,C,A,A,A,D,A,D,C,,,,,,,,,,
3734,7,B,D,D,,B,A,D,A,E,"A,C",A,A,B,C,B,B,C,B,D,C,D,C,A,D,C,A,A,B,C,E,C,E,C,A,E,A,C,A,D,B,A,B,A,B,D,A,B,B,E,C,A,B,E,D,A,A,E,A,D,A,B,A,D,C,E,D,A,D,A,E,C,A,E,D,A,A,C,B,D,C,,,,,,,,,,
3735,7,E,E,B,E,B,E,C,A,C,E,A,E,C,D,D,E,E,D,E,E,E,A,D,D,B,B,E,D,B,B,A,B,C,A,B,D,E,B,C,E,D,B,E,C,D,A,C,D,E,C,C,B,A,E,A,B,D,D,A,E,E,C,D,D,D,B,B,C,B,A,B,D,B,C,C,C,D,B,B,E,,,,,,,,,,
3737,7,C,"D,E",D,C,D,B,B,A,C,C,A,A,D,B,B,B,C,B,B,B,C,B,D,C,B,B,B,B,E,D,D,A,D,C,C,E,E,B,"D,E",D,A,B,C,D,E,A,B,C,D,E,A,B,C,D,E,A,B,C,D,E,E,D,C,B,A,E,D,C,B,A,E,D,C,B,"A,E",E,D,C,B,A,,,,,,,,,,
3739,7,A,C,B,B,B,D,A,D,C,B,A,B,A,A,B,C,C,D,C,C,C,"A,C",C,D,C,D,A,B,A,A,C,D,A,A,B,C,D,C,D,A,C,C,D,B,E,C,D,C,E,B,D,B,D,C,D,C,A,A,A,B,C,B,B,A,A,B,D,A,C,C,B,B,D,C,B,B,B,E,C,C,,,,,,,,,,
3740,7,E,A,C,D,A,B,C,D,B,E,A,A,B,A,D,C,D,C,C,D,C,E,C,E,C,B,C,D,A,D,B,C,A,D,C,A,E,C,D,A,D,C,B,D,A,C,E,C,D,C,A,B,B,C,E,D,B,A,E,B,D,C,"A,E",C,D,B,C,B,D,A,E,C,D,B,C,D,E,A,E,B,,,,,,,,,,
3741,7,E,C,D,B,B,E,B,C,E,B,D,A,A,D,D,B,E,D,D,D,B,D,C,C,C,A,B,D,E,B,C,A,B,C,C,B,D,E,A,A,D,A,B,C,D,B,A,D,E,B,D,C,B,E,A,B,E,E,A,D,B,C,B,C,A,D,A,C,B,C,E,C,D,B,A,A,A,C,A,E,,,,,,,,,,
3744,7,E,B,D,B,A,A,B,C,A,E,B,C,A,D,D,B,A,D,B,C,B,A,B,A,C,A,E,A,C,C,B,B,D,B,D,A,B,B,C,B,D,D,C,A,C,D,A,D,A,C,D,C,B,D,D,A,B,D,B,C,C,C,C,"A,D",D,B,D,C,D,C,A,D,C,D,A,B,C,D,B,D,,,,,,,,,,
3746,7,D,E,B,A,"A,C",C,C,C,A,"D,E",A,B,D,A,D,D,B,"B,C",A,E,B,D,A,D,C,B,A,D,B,D,A,C,D,B,B,A,C,D,C,B,B,D,C,D,B,A,B,A,E,B,D,C,A,C,A,D,B,C,A,A,B,A,C,D,E,B,D,C,A,E,B,A,D,E,A,B,C,D,B,"B,E",,,,,,,,,,
3748,7,E,C,C,B,B,A,E,C,A,A,A,E,E,D,D,E,E,D,B,D,D,C,C,C,B,E,B,D,D,B,A,"C,E",D,B,B,C,E,A,E,A,A,C,E,D,A,B,E,A,E,B,D,D,E,A,A,D,B,C,C,E,A,E,B,C,"A,D",C,,B,B,E,A,D,C,E,A,C,B,D,B,E,,,,,,,,,,
3749,7,E,E,B,B,B,A,B,C,A,D,A,B,D,D,D,E,E,D,A,"C,D",E,B,D,C,C,C,B,E,C,D,E,B,D,B,D,B,E,A,E,A,B,A,"D,E",C,E,A,B,E,C,D,C,D,C,B,A,B,C,B,B,C,B,B,E,"D,E","A,C",D,E,A,C,C,E,E,B,C,E,D,C,D,A,D,,,,,,,,,,
3750,7,A,E,E,B,B,A,B,C,A,D,B,E,E,D,D,E,A,C,C,C,A,C,C,B,E,A,B,B,D,A,E,B,B,D,B,B,E,E,B,C,E,E,E,A,E,A,B,C,A,D,D,D,A,B,B,B,A,B,A,D,C,C,B,C,C,D,B,B,B,B,A,C,D,D,A,B,C,C,B,E,,,,,,,,,,
3753,7,C,A,D,E,D,C,B,C,E,C,E,E,"A,D",D,A,C,D,A,C,B,C,B,E,D,D,A,C,B,E,C,D,A,B,E,D,"A,C",A,B,E,D,C,A,E,B,D,A,E,C,B,D,A,B,D,A,E,C,A,D,C,E,E,A,D,C,A,B,E,D,C,A,A,C,E,D,B,A,E,D,D,C,,,,,,,,,,
3754,7,B,C,C,B,B,C,B,C,A,D,D,A,A,D,D,E,E,D,D,B,B,C,A,C,D,A,D,B,E,,D,B,C,C,E,C,A,A,E,A,E,A,A,C,E,A,B,E,D,D,A,C,E,C,C,C,E,E,C,D,B,C,D,A,E,D,D,A,C,B,E,D,C,B,A,C,D,A,E,B,,,,,,,,,,
3757,7,D,B,A,B,B,E,D,A,D,C,B,A,B,D,B,A,B,D,B,A,B,D,C,C,D,D,E,D,C,B,C,D,A,C,A,D,C,A,A,D,C,A,C,C,D,B,C,C,"A,B",B,A,B,C,B,D,B,D,C,A,C,E,A,A,B,D,E,D,C,D,C,A,E,B,C,A,D,B,C,A,D,,,,,,,,,,
3758,7,D,E,B,B,B,D,B,C,A,D,A,E,A,B,D,A,E,C,C,A,B,A,D,B,C,C,E,D,"A,B",B,A,E,D,D,C,D,B,C,B,B,C,D,A,A,B,B,C,E,D,A,E,C,C,B,B,A,D,D,A,E,C,C,B,A,D,D,E,C,C,A,B,B,D,C,A,A,E,B,C,D,,,,,,,,,,
3759,7,D,E,B,B,E,D,D,C,A,D,A,A,A,B,D,A,E,C,C,A,D,A,D,D,A,C,E,D,A,B,A,E,D,D,C,D,B,C,B,B,D,D,C,D,C,,,,,,,,,,,,,D,A,E,C,,,,,,,,,,B,,,B,B,D,E,B,C,D,,,,,,,,,,
3760,7,,E,D,B,B,,B,C,A,C,D,C,A,D,D,D,A,B,D,A,E,A,C,B,C,A,C,B,A,,A,A,C,D,E,B,C,B,B,C,B,B,B,D,A,A,C,B,A,C,B,D,C,B,,B,B,E,B,D,B,C,C,C,A,D,,D,D,C,D,C,B,D,A,E,D,B,A,C,,,,,,,,,,
3762,7,E,A,A,E,A,E,"B,E",E,D,B,A,A,B,D,D,E,E,D,B,D,B,C,C,B,D,C,B,E,D,E,A,E,E,B,E,D,D,E,D,E,C,C,A,E,D,"A,B",B,D,C,E,C,E,B,C,C,A,E,C,D,E,A,C,A,A,B,A,D,C,E,A,D,D,C,E,C,C,D,E,A,E,,,,,,,,,,
3763,7,A,B,D,B,B,A,B,C,A,E,D,B,D,D,E,E,B,D,D,A,A,C,C,B,C,A,C,B,C,C,C,B,C,C,D,B,D,D,C,D,D,B,C,C,A,B,D,E,D,C,A,D,B,A,A,E,C,B,A,B,A,C,E,A,E,D,D,D,B,A,E,A,A,E,C,E,D,D,C,D,,,,,,,,,,
3764,7,A,B,D,B,B,A,B,C,A,A,D,A,D,D,B,B,A,D,C,B,A,B,D,A,C,A,A,B,,,C,A,C,A,C,B,,C,B,C,D,B,A,B,D,B,C,D,C,B,D,C,E,B,B,D,C,B,A,D,A,C,B,A,A,E,D,C,B,A,A,B,C,D,E,D,D,C,C,D,,,,,,,,,,
4001,8,B,B,C,B,C,D,A,D,D,C,D,B,B,B,B,D,D,C,B,A,"C,E",E,D,C,D,A,C,D,C,B,C,D,B,A,C,D,D,C,C,D,E,D,A,D,B,B,B,B,A,E,C,B,C,C,B,B,A,A,B,B,B,A,B,B,D,C,C,D,D,D,B,D,A,D,B,A,D,D,B,D,A,B,A,A,A,A,A,D,A,A
4002,8,B,B,C,A,A,D,B,D,C,A,D,A,B,E,B,D,A,B,C,B,B,E,C,C,C,A,A,B,C,B,C,B,A,D,E,B,D,B,B,A,D,D,B,C,B,E,D,D,C,B,D,A,D,D,B,C,C,D,A,A,B,C,B,D,C,D,D,D,"A,D",A,C,A,A,C,E,C,A,C,C,A,D,E,B,E,E,D,A,B,C,A
4004,8,A,C,E,B,D,D,A,E,B,D,C,A,A,A,B,D,B,B,D,B,B,"B,E",B,E,E,A,A,A,B,C,D,E,A,E,B,B,E,A,E,C,C,D,B,B,C,A,C,D,E,E,C,C,D,C,B,D,C,C,D,D,B,D,C,C,E,D,A,D,B,D,D,D,A,E,B,B,D,C,B,C,D,B,C,B,C,A,A,B,A,D
4005,8,A,C,,B,D,D,A,D,D,,D,A,B,C,D,D,A,B,C,B,E,A,C,,C,C,D,,A,D,,B,D,B,"C,E",,,A,D,,"A,D",,D,"B,D",D,B,A,,A,C,A,A,B,C,B,E,C,,B,B,B,E,C,C,B,,,E,D,C,D,D,,,,C,,B,E,C,C,,,,,A,D,,,C
4006,8,E,E,B,B,D,D,A,D,D,C,C,A,D,D,D,D,A,A,C,D,B,E,C,C,C,A,E,C,D,B,D,D,A,C,A,C,B,C,E,C,D,A,A,E,A,C,A,D,A,E,C,D,B,B,B,C,B,C,A,D,B,D,B,E,C,B,B,D,D,C,D,D,A,D,E,C,A,E,D,C,E,D,C,A,D,A,B,B,E,C
4007,8,A,C,B,B,D,C,A,A,C,E,D,A,B,B,B,D,D,B,C,B,E,E,E,C,C,B,D,E,E,B,B,B,,,A,A,E,C,,E,A,,E,,C,B,B,D,A,B,C,E,E,C,B,B,B,B,A,A,B,C,C,A,E,,D,E,D,D,D,D,C,C,E,A,,,C,D,E,D,E,B,,A,D,B,,C
4008,8,A,C,B,B,D,D,A,D,D,C,D,A,B,A,B,D,A,A,C,C,B,D,D,C,C,D,D,A,C,C,E,E,B,A,B,B,C,C,B,C,A,C,D,E,B,A,A,D,B,C,D,D,A,C,D,B,B,D,A,D,E,C,B,C,D,A,E,D,D,C,C,D,A,C,B,C,D,C,B,D,B,D,C,B,D,B,D,B,D,A
4011,8,B,C,D,B,C,E,A,D,B,A,C,C,D,C,E,D,A,D,D,A,B,E,D,A,D,A,C,D,E,C,D,B,B,A,A,C,D,E,A,A,E,C,A,E,B,A,A,D,A,C,C,A,B,C,B,A,C,C,B,D,B,B,B,B,A,A,B,E,E,C,A,E,A,C,D,C,C,A,B,E,A,E,E,B,D,E,A,C,D,A
4012,8,E,B,E,B,C,D,A,E,B,D,C,A,D,B,E,C,D,C,D,B,B,D,D,C,D,C,D,B,C,D,C,A,D,B,D,B,E,D,B,D,B,E,B,E,D,B,C,E,C,E,B,D,C,E,C,E,A,D,E,C,,E,,B,E,B,E,B,D,D,D,D,A,C,D,D,B,D,D,B,E,C,A,B,D,B,D,B,E,C
4013,8,C,C,C,B,D,E,B,A,D,D,D,A,D,E,D,D,A,C,A,B,B,D,B,E,E,C,D,B,C,A,C,D,A,D,A,B,D,D,D,C,D,D,B,B,C,A,C,E,E,B,C,C,D,C,B,D,C,C,D,D,B,D,C,D,E,E,A,D,B,D,D,D,A,E,B,D,C,A,D,C,C,B,D,B,B,A,B,C,B,A
4014,8,C,C,C,B,D,E,B,D,D,D,C,"A,D",D,E,D,D,A,C,A,C,B,D,B,E,E,C,D,B,"C,E","D,E",A,E,A,E,A,B,"A,D","D,E",D,D,C,D,"B,D",B,"B,C,D",A,C,E,E,B,"B,C",C,D,C,B,D,C,C,D,D,B,D,"C,D",C,E,E,A,D,B,D,D,D,A,E,B,D,C,D,C,C,D,B,C,B,B,A,B,"B,C",B,A
4019,8,D,"B,E",D,B,E,D,A,D,D,A,C,,D,C,B,D,E,C,,,B,E,B,,C,C,C,,A,E,E,,B,,A,A,E,E,B,,A,D,B,D,,D,,C,D,A,C,E,D,C,B,,C,A,B,E,D,A,C,B,D,C,C,C,D,D,D,D,A,B,,C,E,E,A,C,E,E,C,B,A,B,C,D,E,A
4020,8,D,C,C,B,D,C,A,C,D,D,A,D,D,A,D,D,A,C,E,B,C,D,A,B,A,C,B,C,B,D,D,D,C,A,B,C,A,C,B,C,B,C,D,C,D,B,D,D,A,C,C,A,C,A,B,B,E,D,A,D,C,A,D,C,B,D,B,E,E,C,"B,C",C,B,,A,D,B,C,D,B,C,A,D,B,C,B,E,D,B,D
4022,8,E,C,B,B,D,E,A,D,D,C,D,A,B,A,C,D,D,B,D,D,B,E,B,C,C,A,E,D,B,A,D,E,B,D,A,C,D,A,B,E,B,C,A,C,B,A,C,D,C,D,C,A,B,C,D,E,D,A,A,C,B,D,C,D,B,D,A,D,D,C,B,D,A,D,"A,E",A,D,B,C,B,D,C,B,E,A,E,B,D,A,"A,D"
4023,8,C,C,B,B,D,D,A,D,D,A,D,A,B,B,B,D,A,A,C,C,B,E,B,E,C,A,A,C,D,B,C,E,B,A,C,B,E,C,E,A,C,B,E,B,A,B,D,B,D,B,C,B,A,A,E,C,D,B,B,D,A,E,D,B,C,B,A,D,C,C,D,D,A,A,E,C,E,E,D,C,D,B,C,B,D,B,C,B,A,A
4027,8,D,A,E,A,C,D,A,B,D,"B,D",A,A,D,E,B,D,,B,B,E,E,E,B,C,C,,D,,B,D,B,B,A,,,C,E,B,D,D,,,C,A,A,D,B,D,A,E,C,C,,D,B,D,C,,D,B,A,D,,,C,A,D,D,A,D,C,E,C,C,B,,A,D,B,E,B,D,E,D,A,C,D,,B,A
4028,8,,C,E,B,D,D,A,D,D,A,D,A,B,C,D,D,A,B,B,B,B,E,D,B,C,A,D,,,B,C,,E,D,C,C,B,C,B,A,A,A,B,C,E,E,B,A,A,A,E,C,D,E,B,C,C,D,B,,B,E,D,D,D,A,C,D,D,C,D,D,A,A,E,A,B,C,E,C,E,D,A,E,B,B,B,C,A,C
4030,8,A,B,C,C,C,E,A,B,D,E,D,C,A,E,D,D,A,A,B,C,B,A,C,B,C,A,B,A,B,B,C,A,A,C,A,D,C,C,A,B,A,B,A,C,A,D,A,B,B,D,A,A,A,B,B,B,B,C,A,D,E,B,A,C,A,B,C,A,D,C,D,D,A,B,"A,E",A,B,C,D,B,A,E,A,D,A,C,B,D,E,B
4031,8,D,E,B,B,E,A,A,B,D,C,D,A,B,E,C,C,A,A,C,A,C,B,E,B,C,B,E,A,D,E,E,C,C,B,B,B,"A,D",A,A,D,A,C,B,E,C,A,D,B,C,A,E,B,C,"A,D",D,B,E,C,D,C,"A,B",A,D,B,A,C,E,D,A,A,A,C,E,B,D,A,C,C,E,A,C,B,D,E,B,A,C,B,D,A
4034,8,C,E,B,B,C,D,A,D,B,A,D,A,A,A,E,D,C,B,D,A,B,E,B,B,C,A,A,D,A,B,A,E,C,B,E,B,B,C,A,A,A,C,A,C,C,B,C,D,A,E,D,B,D,D,B,C,B,D,B,D,D,D,E,C,B,C,C,D,D,C,D,D,B,D,B,C,B,A,D,C,A,D,A,A,C,A,B,E,A,A
4035,8,A,B,D,B,C,B,A,D,D,C,D,C,D,E,C,D,D,A,B,A,B,E,E,D,C,B,A,C,B,C,A,B,C,B,E,D,C,E,C,C,D,B,A,C,A,B,A,A,A,C,B,C,D,E,A,C,C,E,B,C,D,C,C,B,C,B,C,D,D,C,D,D,B,C,B,C,D,C,D,C,A,D,C,A,C,D,C,B,C,E
